File created on: 2024-10-01 18:05:30
File created on code in factory_simulation.jl
ParametersParameters(1, 60.0, 25.0, 2880.0, 180.0)
id,arrival_time,start_service_time,completion_time,interrupted
1,0.00000,0.00000,25.00000, 0
2,40.49941,40.49941,65.49941, 0
3,51.69359,65.49941,90.49941, 0
4,117.23502,117.23502,142.23502, 0
5,182.98667,730.58654,755.58654, 1
6,209.09647,755.58654,780.58654, 1
7,378.33930,780.58654,805.58654, 1
8,449.01630,805.58654,830.58654, 1
9,450.52899,830.58654,855.58654, 1
10,471.84919,855.58654,880.58654, 1
11,494.56776,880.58654,905.58654, 1
12,515.34934,905.58654,930.58654, 1
13,643.66784,930.58654,955.58654, 1
14,665.48036,955.58654,980.58654, 1
15,666.40935,980.58654,1005.58654, 1
16,722.64507,1005.58654,1030.58654, 1
17,764.18167,1030.58654,1055.58654, 0
18,784.19056,1055.58654,1080.58654, 0
19,813.20731,1080.58654,1105.58654, 0
20,850.96317,1105.58654,1130.58654, 0
21,933.28456,1130.58654,1155.58654, 0
22,983.76672,1155.58654,1180.58654, 0
23,1010.08319,1180.58654,1205.58654, 0
24,1060.86365,1205.58654,1230.58654, 0
25,1092.02989,1230.58654,1255.58654, 0
26,1185.37478,1255.58654,1280.58654, 0
27,1196.71785,1280.58654,1305.58654, 0
28,1225.83145,1305.58654,1330.58654, 0
29,1277.23503,1330.58654,1355.58654, 0
30,1298.75810,1355.58654,1380.58654, 0
31,1335.30184,1380.58654,1405.58654, 0
32,1362.57383,1405.58654,1430.58654, 0
33,1367.42621,1430.58654,1455.58654, 0
34,1486.83019,1486.83019,1511.83019, 0
35,1568.37595,1568.37595,1593.37595, 0
36,1579.19799,1593.37595,1618.37595, 0
37,1628.31335,1628.31335,1653.31335, 0
38,1741.26124,1741.26124,1766.26124, 0
39,1746.60251,1766.26124,1791.26124, 0
40,1746.65661,1791.26124,1816.26124, 0
41,1798.37228,1816.26124,1841.26124, 0
42,1845.78075,1845.78075,1870.78075, 0
43,1854.12099,1870.78075,1895.78075, 0
44,1875.95382,1895.78075,1920.78075, 0
45,1882.91501,1920.78075,1945.78075, 0
46,1905.13220,1945.78075,1970.78075, 0
